comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0322442161062425,0.0290466292732853,0.0639503507825148,0.0006540850973449,212
sasrec_softmax_uni_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0175686647814766,0.0268703399869447,0.069886670264436,0.0005454361185586,213
sasrec_softmax_uni_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0154688243693479,0.009521939305526,0.0661090124123043,0.0005690364867086,184
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0172513555636438,0.014784767693791,0.0604425256341068,0.0004973898059502,444
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0175686647814766,0.0235663940949444,0.0661090124123043,0.0003654950555304,407
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0175686647814766,0.0223354343455098,0.0658391797085806,0.0004714678913763,490
sasrec_softmax_uni_loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0170927009547274,0.0154259644986434,0.0612520237452779,0.0006826316322883,640
sasrec_softmax_uni_loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0180162974280621,0.014170187400202,0.0720453318942255,0.0004848940671699,509
sasrec_softmax_uni_loss=BCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0015582149090002,0.0095752053752837,0.0604425256341068,0.0005623264295513,293
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0304616849119466,0.0210145982406247,0.0599028602266594,0.000581280674114,537
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0001586546089163,0.003334723731789,0.0647598488936859,0.0004690432998109,447
sasrec_softmax_uni_loss=gBCE_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0017825311942959,0.0019279026726955,0.0679978413383702,0.0004757200188342,441
