comment,recall@10,ndcg@10,coverage@10,arp@10
__dropout_rate=1_n_heads=1,0.3190397350993377,0.17738245499191,0.6260799136069114,0.0008463141113723
__dropout_rate=1_n_heads=2,0.3183774834437086,0.1763350284127076,0.603401727861771,0.0008854383398569
__dropout_rate=1_n_heads=4,0.3167218543046358,0.1735667304347341,0.5807235421166307,0.0008593511589321
__dropout_rate=2_n_heads=1,0.3173841059602649,0.1732977456106814,0.6255399568034558,0.0008052718322517
__dropout_rate=2_n_heads=2,0.3291390728476821,0.1835633925150079,0.6541576673866091,0.0008249072085722
__dropout_rate=2_n_heads=4,0.3283112582781456,0.1829509243487123,0.6271598272138229,0.0008546324611516
__dropout_rate=3_n_heads=1,0.3187086092715231,0.1734891432453799,0.5950323974082073,0.0008366225395444
__dropout_rate=3_n_heads=2,0.3245033112582781,0.179461063466452,0.6077213822894169,0.000845761608907
__dropout_rate=3_n_heads=4,0.32931d12582781456,0.179461063466452,0.6077213822894169,0.000845761608907
